"","X","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","REGION","lon","lat"
"4104",4104,"CERTIFIED","SATYA MARG SOLUTIONS INC","TECHNICAL","PROGRAMMER ANALYST","Y",69742,2013,"ISELIN, NEW JERSEY"," NORTH EAST",-74.3223703,40.5753817
"4105",4105,"CERTIFIED","ALPHAVISTA SERVICES, INC.","NON-TECHNICAL","SALES MANAGER","Y",77542,2013,"SUNNYVALE, CALIFORNIA"," WEST",-122.0363496,37.36883
"4106",4106,"CERTIFIED","CEPHAM INC.","TECHNICAL","FOOD SCIENTIST, QUALITY ASSURANCE SPECIALIST","Y",50960,2013,"PISCATAWAY, NEW JERSEY"," NORTH EAST",-74.4642861,40.554887
"4107",4107,"CERTIFIED","SEAWOLF TECHNOLOGIES INC.","TECHNICAL","COMPUTER PROGRAMMER","Y",54870,2013,"SYOSSET, NEW YORK"," NORTH EAST",-73.502068,40.8262101
"4108",4108,"CERTIFIED","VSQUARE INFOTECH INC.","TECHNICAL","PROGRAMMER ANALYST","Y",53394,2013,"JERSEY CITY, NEW JERSEY"," NORTH EAST",-74.0776417,40.7281575
"4109",4109,"CERTIFIED","IT IDEOLOGY LLC","NON-TECHNICAL","TEREDATA APPLICATIONS DBA","Y",73153.6,2013,"METTAWA, ILLINOIS"," MID WEST",-87.9259058,42.2333571
"4110",4110,"CERTIFIED","AMTEX SYSTEMS, INC.","TECHNICAL","SOFTWARE APPLICATION ENGINEER","Y",62608,2013,"LANSING, MICHIGAN"," MID WEST",-84.5555347,42.732535
"4111",4111,"CERTIFIED","FUNARO & CO PC","NON-TECHNICAL","AUDITOR","Y",55370,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4112",4112,"CERTIFIED","SKILLSIGHT INC.","TECHNICAL","SYSTEMS ANALYST","Y",57075,2013,"IRVING, TEXAS"," SOUTH",-96.9488945,32.8140177
"4113",4113,"CERTIFIED","VSQUARE INFOTECH INC.","TECHNICAL","PROGRAMMER ANALYST","Y",47174,2013,"CHICAGO, ILLINOIS"," MID WEST",-87.6297982,41.8781136
"4114",4114,"CERTIFIED","SUNERA TECHNOLOGIES, INC","TECHNICAL","PROGRAMMER ANALYST","Y",70179,2013,"MIAMI, FLORIDA"," SOUTH",-80.1917902,25.7616798
"4115",4115,"CERTIFIED","NORTON SHORES INTERNAL MEDICINE AND NEPHROLOGY PLC","NON-TECHNICAL","NEPHROLOGIST","Y",104770,2013,"LUDINGTON, MICHIGAN"," MID WEST",-86.4525831,43.9552825
"4116",4116,"CERTIFIED","ALTAIR PRODUCTDESIGN, INC.","TECHNICAL","DIMENSIONAL CONTROL ENGINEER","Y",79851.2,2013,"AUBURN HILLS, MICHIGAN"," MID WEST",-83.2341028,42.6875323
"4117",4117,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY ANALYST- US","Y",54496,2013,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"4118",4118,"CERTIFIED","PROXIMA INC.","NON-TECHNICAL","SUPPLY CHAIN LOGISTICS ANALYST","Y",49608,2013,"JAMAICA, NEW YORK"," NORTH EAST",-73.7889689,40.702677
"4120",4120,"CERTIFIED","LLOYD'S REGISTER ENERGY AMERICAS, INC.","TECHNICAL","PROCESS CONSULTANT","Y",79664,2013,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"4121",4121,"CERTIFIED","CAMERON INTERNATIONAL CORPORATION","NON-TECHNICAL","FIELD SERVICE TECHNICIAN","Y",38709,2013,"SHREVEPORT, LOUISIANA"," SOUTH",-93.7501789,32.5251516
"4122",4122,"CERTIFIED","TARGET LABS, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",95534.4,2013,"KANSAS CITY, MISSOURI"," MID WEST",-94.5785667,39.0997265
"4123",4123,"CERTIFIED","KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK","NON-TECHNICAL","SOCIAL WORKER - PROGRAM COORDINATOR","Y",39083,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4124",4124,"CERTIFIED","SEARS HOLDINGS MANAGEMENT CORPORATION","TECHNICAL","ARCHITECT, DEVELOPMENT","Y",111072,2013,"CHICAGO, ILLINOIS"," MID WEST",-87.6297982,41.8781136
"4125",4125,"CERTIFIED","AMERICAN GENERAL LIFE INSURANCE COMPANY","TECHNICAL","LEAD SOFTWARE ENGINEER","Y",77355,2013,"FARMINGTON, CONNECTICUT"," NORTH EAST",-72.795027,41.7360305
"4126",4126,"CERTIFIED","GOOGLE INC.","TECHNICAL","SOFTWARE ENGINEER","Y",100984,2013,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"4127",4127,"CERTIFIED","FITCH RATINGS","NON-TECHNICAL","ASSOCIATE DIRECTOR, GLOBAL ANALYTICS","Y",63898,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4128",4128,"CERTIFIED","CHEP USA","TECHNICAL","SYSTEMS ANALYST - HYPERION","Y",60778,2013,"ORLANDO, FLORIDA"," SOUTH",-81.3792365,28.5383355
"4129",4129,"CERTIFIED","GOOGLE INC.","TECHNICAL","SOFTWARE ENGINEER","Y",84802,2013,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"4130",4130,"CERTIFIED","FINDTHEBEST.COM, INC.","TECHNICAL","LAMP ENGINEER","Y",55390,2013,"SANTA BARBARA, CALIFORNIA"," WEST",-119.6981901,34.4208305
"4131",4131,"CERTIFIED","AMERICAN BUREAU OF SHIPPING (ABS)","NON-TECHNICAL","ENGINEER II","Y",62754,2013,"HARAHAN, LOUISIANA"," SOUTH",-90.2031313,29.9404826
"4132",4132,"CERTIFIED","DACHENG LAW OFFICES LLP","NON-TECHNICAL","ASSOCIATE","N",82118.4,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4133",4133,"CERTIFIED","THE COLLEGE  BOUND NETWORK","NON-TECHNICAL","EUROPEAN MARKET ANALYST","Y",45448,2013,"STATEN ISLAND, NEW YORK"," NORTH EAST",-74.1502007,40.5795317
"4134",4134,"CERTIFIED","VERTISYSTEM INC","TECHNICAL","PROGRAMMER ANALYST","Y",62456,2013,"FREMONT, CALIFORNIA"," WEST",-121.9885719,37.5482697
"4135",4135,"CERTIFIED","ANKI, INC.","TECHNICAL","ROBOTICS/AI SOFTWARE ENGINEER","Y",86611,2013,"SAN FRANCISCO, CALIFORNIA"," WEST",-122.4194155,37.7749295
"4136",4136,"CERTIFIED","XTREAM IT PEOPLE INC.","TECHNICAL","ANALYST / PROGRAMMER","Y",52208,2013,"ALBANY, NEW YORK"," NORTH EAST",-73.7562317,42.6525793
"4137",4137,"CERTIFIED","LYCEE INTERNATIONAL DE LOS ANGELES","NON-TECHNICAL","SECONDARY SCHOOL TEACHER","Y",48150,2013,"BURBANK, CALIFORNIA"," WEST",-118.3089661,34.1808392
"4139",4139,"CERTIFIED","A-MAX INSURANCE SERVICES, INC.","NON-TECHNICAL","CREDIT ANALYST","Y",41787,2013,"DALLAS, TEXAS"," SOUTH",-96.7969879,32.7766642
"4140",4140,"CERTIFIED","LATTICE ELECTRO OPTICS, INC.","TECHNICAL","ELECTRONIC ENGINEER","N",70720,2013,"FULLERTON, CALIFORNIA"," WEST",-117.9242966,33.8703596
"4142",4142,"CERTIFIED","IT KEYSOURCE, INC.","TECHNICAL","SOFTWARE ENGINEER","Y",71344,2013,"JACKSONVILLE, FLORIDA"," SOUTH",-81.655651,30.3321838
"4143",4143,"CERTIFIED","PRIMESOFT, INC","TECHNICAL","PROGRAMMER ANALYST","Y",53914,2013,"PISCATAWAY, NEW JERSEY"," NORTH EAST",-74.4642861,40.554887
"4144",4144,"CERTIFIED","CHARTER GLOBAL, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",49754,2013,"DULUTH, GEORGIA"," SOUTH",-84.1446376,34.0028786
"4145",4145,"CERTIFIED","1185 DESIGN","NON-TECHNICAL","GRAPHIC DESIGNER","Y",39832,2013,"PALO ALTO, CALIFORNIA"," WEST",-122.1430195,37.4418834
"4146",4146,"CERTIFIED","VANDERBILT UNIVERSITY","NON-TECHNICAL","RESEARCH INSTRUCTOR","Y",36067,2013,"NASHVILLE, TENNESSEE"," SOUTH",-86.7816016,36.1626638
"4147",4147,"CERTIFIED","ALCATEL-LUCENT USA INC.","TECHNICAL","PRODUCT MANAGER","Y",125424,2013,"MURRAY HILL, NEW JERSEY"," NORTH EAST",-74.4012651,40.6951408
"4148",4148,"CERTIFIED","UST GLOBAL INC","TECHNICAL","TEST ANALYST","Y",60008,2013,"CYPRESS, CALIFORNIA"," WEST",-118.0372852,33.8169599
"4149",4149,"CERTIFIED","GOOGLE INC.","TECHNICAL","SOFTWARE ENGINEER","Y",133328,2013,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"4150",4150,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY LEAD- US","Y",73757,2013,"HARTFORD, CONNECTICUT"," NORTH EAST",-72.6850932,41.7637111
"4151",4151,"CERTIFIED","ANDROPOGON ASSOCIATES, LTD.","NON-TECHNICAL","LANDSCAPE DESIGNER","Y",42952,2013,"PHILADELPHIA, PENNSYLVANIA"," NORTH EAST",-75.1652215,39.9525839
"4152",4152,"CERTIFIED","COVIDIEN LP","NON-TECHNICAL","ASSOCIATE PROCESS ENGINEER","Y",51293,2013,"GREENWOOD, SOUTH CAROLINA"," SOUTH",-82.1617883,34.1954001
"4153",4153,"CERTIFIED","GOOGLE INC.","TECHNICAL","SOFTWARE ENGINEER","Y",92789,2013,"SAN BRUNO, CALIFORNIA"," WEST",-122.4110835,37.6304904
"4154",4154,"CERTIFIED","BROADCOM CORPORATION","TECHNICAL","ENGINEER, STAFF II - SYSTEMS DESIGN","Y",97094,2013,"MATAWAN, NEW JERSEY"," NORTH EAST",-74.2295891,40.41483
"4155",4155,"CERTIFIED","CHECK POINT SOFTWARE TECHNOLOGIES, INC.","TECHNICAL","SOFTWARE ENGINEER","Y",129022,2013,"SAN CARLOS, CALIFORNIA"," WEST",-122.2605222,37.5071591
"4156",4156,"CERTIFIED","BARRI FINANCIAL GROUP, LLC","TECHNICAL","SYSTEMS DEVELOPMENT ANALYST","Y",54496,2013,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"4157",4157,"CERTIFIED","THE NIELSEN COMPANY (US), LLC","NON-TECHNICAL","SENIOR ANALYST","Y",47715,2013,"EVANSTON, ILLINOIS"," MID WEST",-87.6876969,42.0450722
"4158",4158,"CERTIFIED","THE AES CORPORATION","NON-TECHNICAL","MANAGING DIRECTOR - PROJECTS","Y",125965,2013,"ARLINGTON, VIRGINIA"," SOUTH",-77.1067698,38.8799697
"4159",4159,"CERTIFIED","FINDTHEBEST.COM, INC.","TECHNICAL","LAMP ENGINEER","Y",55390,2013,"SANTA BARBARA, CALIFORNIA"," WEST",-119.6981901,34.4208305
"4160",4160,"CERTIFIED","TELKITE SERVICES, INC.","TECHNICAL","SYSTEMS ANALYST","Y",67621,2013,"SANTA CLARA, CALIFORNIA"," WEST",-121.9552356,37.3541079
"4161",4161,"CERTIFIED","MCAFEE, INC.","NON-TECHNICAL","LEARNING COORDINATOR","Y",60715,2013,"PLANO, TEXAS"," SOUTH",-96.6988856,33.0198431
"4162",4162,"CERTIFIED","SEAGATE US LLC","TECHNICAL","ENGINEER II","Y",75338,2013,"SHAKOPEE, MINNESOTA"," MID WEST",-93.5272861,44.7973962
"4163",4163,"CERTIFIED","SONY MOBILE COMMUNICATIONS (USA) INC.","NON-TECHNICAL","SR. BUSINESS CONTROLLER GLOBAL SALES & MARKETING","Y",99382,2013,"ATLANTA, GEORGIA"," SOUTH",-84.3879824,33.7489954
"4164",4164,"CERTIFIED","ASPEN TECHNOLOGY, INC.","TECHNICAL","BUSINESS ANALYST","Y",60091,2013,"BURLINGTON, MASSACHUSETTS"," NORTH EAST",-71.1956205,42.5047161
"4165",4165,"CERTIFIED","DYNAMIC ITSOLUTIONS INC","TECHNICAL","PROGRAMMER ANALYST","Y",61714,2013,"WAYNE, PENNSYLVANIA"," NORTH EAST",-75.3698895,40.0415996
"4166",4166,"CERTIFIED","AMERICAN BUREAU OF SHIPPING (ABS)","NON-TECHNICAL","ENGINEER I","Y",58635,2013,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"4167",4167,"CERTIFIED","ABACUS BUSINESS SOLUTIONS, INC.","TECHNICAL","SENIOR SOFTWARE ENGINEER","Y",100984,2013,"MILPITAS, CALIFORNIA"," WEST",-121.8995741,37.4323341
"4168",4168,"CERTIFIED","ZEND TECHNOLOGIES, INC.","NON-TECHNICAL","FINANCIAL ANALYST","Y",69430,2013,"CUPERTINO, CALIFORNIA"," WEST",-122.0321823,37.3229978
"4169",4169,"CERTIFIED","TAMMINA SOLUTIONS LLC","TECHNICAL","COMPUTER SYSTEMS ANALYST","Y",67371,2013,"BELLEVUE, WASHINGTON"," WEST",-122.2015159,47.6101497
"4170",4170,"CERTIFIED","EXLSERVICE.COM, LLC","TECHNICAL","SENIOR PROGRAMMER ANALYST","Y",75878,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4171",4171,"CERTIFIED","POLARIS SOFTWARE LAB (INDIA) LTD.","NON-TECHNICAL","SALES ENGINEER","Y",68952,2013,"ISELIN, NEW JERSEY"," NORTH EAST",-74.3223703,40.5753817
"4172",4172,"CERTIFIED","HTC GLOBAL SERVICES, INC.","TECHNICAL","SYSTEMS ANALYST","Y",61984,2013,"MADISON, WISCONSIN"," MID WEST",-89.4012302,43.0730517
"4173",4173,"CERTIFIED","CHICAGO PUBLIC SCHOOLS","TECHNICAL","SENIOR SYSTEMS ANALYST","Y",71282,2013,"CHICAGO, ILLINOIS"," MID WEST",-87.6297982,41.8781136
"4174",4174,"CERTIFIED","E SERVICE INC.","TECHNICAL","SOFTWARE ENGINEER","N",66622.4,2013,"SAN DIEGO, CALIFORNIA"," WEST",-117.1610838,32.715738
"4175",4175,"CERTIFIED","FASTENAL COMPANY PURCHASING","TECHNICAL","IT QA ANALYST","Y",58573,2013,"WINONA, MINNESOTA"," MID WEST",-91.6663523,44.0553908
"4176",4176,"CERTIFIED","IDHASOFT, INC.","TECHNICAL","BUSINESS ANALYST","Y",67101,2013,"MILPITAS, CALIFORNIA"," WEST",-121.8995741,37.4323341
"4177",4177,"CERTIFIED","DP TECHNOLOGY CORP","TECHNICAL","INFORMATION TECHNOLOGY SPECIALIST","Y",50086,2013,"CAMARILLO, CALIFORNIA"," WEST",-119.0376023,34.2163937
"4178",4178,"CERTIFIED","ZENCOS CONSULTING, LLC","TECHNICAL","CONSULTANT (SAS BUSINESS INTELLIGENCE)","Y",45864,2013,"CARY, NORTH CAROLINA","SOUTH",-78.7811169,35.79154
"4179",4179,"CERTIFIED","SITA CORP","TECHNICAL","BUSINESS SYSTEMS ANALYST/SAP CONSULTANT","Y",55182,2013,"BETHLEHEM, PENNSYLVANIA"," NORTH EAST",-75.3704579,40.6259316
"4180",4180,"CERTIFIED","TRIGYN TECHNOLOGIES, INC.","TECHNICAL","PROJECT MANAGER/SYSTEMS ANALYST","Y",44761.6,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4181",4181,"CERTIFIED","A & Z PHARMACEUTICAL INC.","NON-TECHNICAL","ANALYTICAL CHEMIST","Y",45656,2013,"DEER PARK, NEW YORK"," NORTH EAST",-73.3292857,40.7617653
"4182",4182,"CERTIFIED","GRACENOTE, INC.","TECHNICAL","SOFTWARE ENGINEER","Y",87402,2013,"EMERYVILLE, CALIFORNIA"," WEST",-122.2852473,37.831316
"4183",4183,"CERTIFIED","ANAGH TECHNOLOGIES, INC.","TECHNICAL","SSIS/ETL DEVELOPER","Y",60611,2013,"PISCATAWAY, NEW JERSEY"," NORTH EAST",-74.4642861,40.554887
"4184",4184,"CERTIFIED","ERNST & YOUNG U.S. LLP","TECHNICAL","ADVISORY SENIOR","Y",72571,2013,"DALLAS, TEXAS"," SOUTH",-96.7969879,32.7766642
"4185",4185,"CERTIFIED","INTERNATIONAL SCHOOL OF THE PENINSULA","NON-TECHNICAL","ELEMENTARY SCHOOL FRENCH TEACHER","Y",52617,2013,"PALO ALTO, CALIFORNIA"," WEST",-122.1430195,37.4418834
"4186",4186,"CERTIFIED","INTEL CORPORATION","NON-TECHNICAL","PROCESS ENGINEER","Y",86986,2013,"HILLSBORO, OREGON"," WEST",-122.989827,45.5228939
"4187",4187,"CERTIFIED","GOOGLE INC.","TECHNICAL","SOFTWARE ENGINEER","Y",99424,2013,"KIRKLAND, WASHINGTON"," WEST",-122.2059833,47.6768927
"4188",4188,"CERTIFIED","SRT IT INCORPORATED","TECHNICAL","PROGRAMMER ANALYST","Y",60632,2013,"SPRINGFIELD, ILLINOIS"," MID WEST",-89.6501481,39.7817213
"4189",4189,"CERTIFIED","HEWLETT-PACKARD STATE & LOCAL ENTERPRISE SERVICES,","TECHNICAL","BUSINESS ANALYST","Y",82472,2013,"OLYMPIA, WASHINGTON"," WEST",-122.9006951,47.0378741
"4190",4190,"CERTIFIED","KINETIC CONCEPTS, INC.","NON-TECHNICAL","INTERNATIONAL ORACLE APPLICATIONS DATABASE ADMINIS","Y",88504,2013,"SAN ANTONIO, TEXAS"," SOUTH",-98.4936282,29.4241219
"4191",4191,"CERTIFIED","GENPACT LLC","TECHNICAL","PRINCIPAL CONSULTANT","Y",72446,2013,"WILMINGTON, NORTH CAROLINA","SOUTH",-77.9447102,34.2257255
"4192",4192,"CERTIFIED","CATALINA ISLAND CAMP INC.","NON-TECHNICAL","ASSISTANT DIRECTOR, ENVIRONMENTAL EDUCATION","Y",22360,2013,"ALTADENA, CALIFORNIA"," WEST",-118.1313188,34.190162
"4193",4193,"CERTIFIED","ASHTON ORLANDO RESIDENTIAL L.L.C.","TECHNICAL","DIRECTOR OF INFORMATION TECHNOLOGY","Y",88421,2013,"MAITLAND, FLORIDA"," SOUTH",-81.3631244,28.6277767
"4194",4194,"CERTIFIED","TIDES CENTER","NON-TECHNICAL","DIRECTOR","Y",81619,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4195",4195,"CERTIFIED","JAHN, LLC","NON-TECHNICAL","ARCHITECT","Y",49940.8,2013,"CHICAGO, ILLINOIS"," MID WEST",-87.6297982,41.8781136
"4196",4196,"CERTIFIED","TATA CONSULTANCY SERVICES LIMITED","TECHNICAL","COMPUTER SYSTEMS ENGINEER","Y",60798,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4197",4197,"CERTIFIED","SHIRASAGI INTERNATIONAL CORPORATION","NON-TECHNICAL","KINDERGARTEN TEACHER","Y",31630,2013,"DORAVILLE, GEORGIA"," SOUTH",-84.2832564,33.8981579
"4198",4198,"CERTIFIED","LOWE HAUPTMAN HAM & BERNER LLP","NON-TECHNICAL","INTELLECTUAL PROPERTY SPECIALIST","Y",127504,2013,"ALEXANDRIA, VIRGINIA"," SOUTH",-77.0469214,38.8048355
"4199",4199,"CERTIFIED","TESLA MOTORS, INC.","TECHNICAL","SR. MECHANICAL DESIGN ENGINEER","Y",122470,2013,"PALO ALTO, CALIFORNIA"," WEST",-122.1430195,37.4418834
"4200",4200,"CERTIFIED","GRAVITY MEDIA LLC","NON-TECHNICAL","MEDIA PLANNER / BUYER","Y",27123,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4201",4201,"CERTIFIED","CSM SOFTWARE USA, LLC.","TECHNICAL","SR. PROJECT ENGINEER","Y",61755,2013,"RAYMOND, OHIO"," MID WEST",-83.4659573,40.3344648
"4202",4202,"CERTIFIED","MICROSOFT CORPORATION","TECHNICAL","SOFTWARE DEVELOPMENT ENGINEER","Y",86278,2013,"REDMOND, WASHINGTON"," WEST",-122.121512,47.6739881
"4203",4203,"CERTIFIED","CORNELL UNIVERSITY","NON-TECHNICAL","RESEARCH SCIENTIST","Y",54579,2013,"ITHACA, NEW YORK"," NORTH EAST",-76.5018807,42.4439614
"4204",4204,"CERTIFIED","BONA FIDE MANAGEMENT, INC.","TECHNICAL","COMPUTER SYSTEMS ANALYST","Y",58178,2013,"ROCKLEDGE, FLORIDA"," SOUTH",-80.7269854,28.3164498
"4205",4205,"CERTIFIED","POLARIS SOFTWARE LAB (INDIA) LTD.","TECHNICAL","SENIOR CONSULTANT","Y",59384,2013,"JERSEY CITY, NEW JERSEY"," NORTH EAST",-74.0776417,40.7281575
"4206",4206,"CERTIFIED","UNIQUE COMP, INC.","TECHNICAL",".NET DEVELOPER","Y",70970,2013,"WHITE PLAINS, NEW YORK"," NORTH EAST",-73.7629097,41.0339862
"4207",4207,"CERTIFIED","ANALYTICAL BIOLOGICAL SERVICES","TECHNICAL","BIOLOGICAL TECHNICIAN","Y",30326.4,2013,"BOSTON, MASSACHUSETTS"," NORTH EAST",-71.0588801,42.3600825
"4208",4208,"CERTIFIED","MU SIGMA, INC.","TECHNICAL","ENGAGEMENT MANAGER","Y",74110,2013,"BIRMINGHAM, ALABAMA"," SOUTH",-86.80249,33.5206608
"4209",4209,"CERTIFIED","MARLABS, INC","TECHNICAL","PROGRAMMER/ANALYST","Y",78915,2013,"ROSELAND, NEW JERSEY"," NORTH EAST",-74.2937594,40.8206555
"4210",4210,"CERTIFIED","UST GLOBAL INC.","TECHNICAL","ASSOCIATE PROJECT MANAGER","Y",73445,2013,"NEWBURY PARK, CALIFORNIA"," WEST",-118.9070887,34.1805403
"4211",4211,"CERTIFIED","A & Z PHARMACEUTICAL INC.","NON-TECHNICAL","ACCOUNTANT","Y",55702,2013,"DEER PARK, NEW YORK"," NORTH EAST",-73.3292857,40.7617653
"4212",4212,"CERTIFIED","LAW OFFICES OF CHOI & PARK, P.C.","NON-TECHNICAL","LAW CLERK","N",38272,2013,"FLUSHING, NEW YORK"," NORTH EAST",-73.833079,40.7674987
"4213",4213,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY ANALYST- US","Y",48776,2013,"TOPEKA, KANSAS"," MID WEST",-95.6890185,39.0558235
"4214",4214,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY LEAD- US","Y",65250,2013,"TOPEKA, KANSAS"," MID WEST",-95.6890185,39.0558235
"4215",4215,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY ANALYST- US","Y",48776,2013,"TOPEKA, KANSAS"," MID WEST",-95.6890185,39.0558235
"4216",4216,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY ANALYST- US","Y",48776,2013,"TOPEKA, KANSAS"," MID WEST",-95.6890185,39.0558235
"4217",4217,"CERTIFIED","INTERNATIONAL AMERICAN SUPERMARKETS CORP.","NON-TECHNICAL","INTERNATIONAL ECONOMIC ANALYST","Y",50877,2013,"PISCATAWAY, NEW JERSEY"," NORTH EAST",-74.4642861,40.554887
"4218",4218,"CERTIFIED","CUMMINS INC.","TECHNICAL","LABORATORY OPERATIONS ENGINEER","Y",53186,2013,"COLUMBUS, INDIANA"," MID WEST",-85.9213796,39.2014404
"4220",4220,"CERTIFIED","LUTRON ELECTRONICS CO., INC.","TECHNICAL","DESIGN AND DEVELOPMENT EMBEDDED ENGINEER","Y",74714,2013,"COOPERSBURG, PENNSYLVANIA"," NORTH EAST",-75.390458,40.5114885
"4222",4222,"CERTIFIED","CITIGROUP TECHNOLOGY, INC.","TECHNICAL","APPLICATIONS DEVELOPMENT INTERMEDIATE PROGRAMMER A","Y",70970,2013,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4223",4223,"CERTIFIED","CGGVERITAS SERVICES (US) INC.","TECHNICAL","SENIOR SEISMIC DEVELOPER","Y",108867,2013,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"4225",4225,"CERTIFIED","GLOBALFOUNDRIES U.S. INC.","NON-TECHNICAL","SMTS TD PROCESS ENGINEERING","Y",91645,2013,"MALTA, NEW YORK"," NORTH EAST",-73.7868236,42.9854395
"4226",4226,"CERTIFIED","EDIFICE US LLC","NON-TECHNICAL","BUSINESS DEVELOPMENT MANAGER","N",52083.2,2013,"SARASOTA, FLORIDA"," SOUTH",-82.5306527,27.3364347
"4227",4227,"CERTIFIED","INFOSYS LIMITED","TECHNICAL","TECHNOLOGY LEAD- US","Y",73757,2013,"HARTFORD, CONNECTICUT"," NORTH EAST",-72.6850932,41.7637111
"4228",4228,"CERTIFIED","LAKESIDE PRODUCT DEVELOPMENT INC","NON-TECHNICAL","SENIOR INDUSTRIAL DESIGNER","Y",52853,2013,"SEATTLE, WASHINGTON"," WEST",-122.3320708,47.6062095
"4229",4229,"CERTIFIED","DELL MARKETING LP","TECHNICAL","SOFTWARE DEVELOPMENT ADVISOR","Y",91707,2013,"PROVIDENCE, RHODE ISLAND"," NORTH EAST",-71.4128343,41.8239891
"4230",4230,"CERTIFIED","GOOGLE INC.","TECHNICAL","SOFTWARE ENGINEER","Y",100984,2013,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"4231",4231,"CERTIFIED","AMERICAN MEGATRENDS, INC.","TECHNICAL","SOFTWARE ENGINEER","Y",66622,2013,"NORCROSS, GEORGIA"," SOUTH",-84.2135309,33.9412127
"4232",4232,"CERTIFIED","CITRIX ONLINE, LLC","TECHNICAL","SOFTWARE ENGINEER","Y",55390,2013,"GOLETA, CALIFORNIA"," WEST",-119.8276389,34.4358294
"4233",4233,"CERTIFIED","PAYPAL DATA SERVICES, INC.","NON-TECHNICAL","RISK ANALYST 3","Y",86258,2013,"AUSTIN, TEXAS"," SOUTH",-97.7430608,30.267153
"4234",4234,"CERTIFIED","G & D FOODS, LLC","NON-TECHNICAL","GENERAL MANAGER","Y",120827,2013,"THE WOODLANDS, TEXAS"," SOUTH",-95.4612625,30.1658207
"4235",4235,"CERTIFIED","E & E CO., LTD","NON-TECHNICAL","GRAPHIC DESIGNER","Y",35381,2013,"FREMONT, CALIFORNIA"," WEST",-121.9885719,37.5482697
"4236",4236,"CERTIFIED","BONA FIDE MANAGEMENT, INC","TECHNICAL","COMPUTER PROGRAMMER","Y",42806,2013,"JACKSONVILLE, FLORIDA"," SOUTH",-81.655651,30.3321838
"4237",4237,"CERTIFIED","NORDSTROM, INC.","NON-TECHNICAL","SENIOR TEXTILE PRINT DESIGNER","Y",66277,2013,"SEATTLE, WASHINGTON"," WEST",-122.3320708,47.6062095
"4238",4238,"CERTIFIED","XTREAM IT PEOPLE INC.","TECHNICAL","SYSTEMS ADMINISTRATOR","Y",47819,2013,"ALBANY, NEW YORK"," NORTH EAST",-73.7562317,42.6525793
"4239",4239,"CERTIFIED","PIONEER CORPORATE SERVICES INC","TECHNICAL","PROGRAMMER ANALYST","Y",61630,2013,"DUBLIN, OHIO"," MID WEST",-83.1140771,40.0992294
"4240",4240,"CERTIFIED","K W AUTOMOTIVE, INC.","NON-TECHNICAL","MEDIA/COMMUNICATIONS SPECIALIST","Y",19386,2013,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"4241",4241,"CERTIFIED","PEOPLE TECH GROUP INC.","TECHNICAL","PROGRAMMER ANALYST","Y",58760,2013,"CONSHOHOCKEN, PENNSYLVANIA"," NORTH EAST",-75.3015714,40.0792766
"4242",4242,"CERTIFIED","CAPGEMINI FINANCIAL SERVICES USA INC","TECHNICAL","SENIOR CONSULTANT","Y",58698,2013,"COLUMBUS, OHIO"," MID WEST",-82.9987942,39.9611755
